ride_month,rider_type,rider_count
2023-12,member,172401
2024-01,member,120413
2024-02,member,176001
2024-03,member,219137
2024-04,member,283215
2024-05,member,378554
2024-06,member,409578
2024-07,member,428423
2024-08,member,437406
2024-09,member,474373
2024-10,member,399840
2024-11,member,241980
2024-12,member,139990
2023-12,casual,51672
2024-01,casual,24460
2024-02,casual,47163
2024-03,casual,82550
2024-04,casual,131810
2024-05,casual,231150
2024-06,casual,301169
2024-07,casual,320581
2024-08,casual,318398
2024-09,casual,346494
2024-10,casual,216452
2024-11,casual,93062
2024-12,casual,38369